::::::::: 1 :::::::::											
Position (X)	 Position (Y)	 Position (Z)	 Rotation (X)	 Rotation (Y)	 Rotation (Z)	 Ang Veloc (X)	 Ang Veloc (Y)	 Ang Veloc (Z)	 Velocity (X)	 Velocity (Y)	 Velocity (Z)
-0.2151887	0.01359856	0.01754427	297.4597	20.65365	340.4203	0.2233716	0.0270977	-0.06060519	0.006221571	-0.01296043	0.01865125
-0.2152127	0.01342285	0.01766574	297.6283	20.56674	340.5276	0.2365875	0.02685391	-0.05460697	0.004667161	-0.01247217	0.01755826
-0.2154184	0.01347291	0.01765084	297.6113	20.51285	340.6146	0.1749434	0.02582697	-0.01589913	0.001109641	-0.007737015	0.01261571
-0.2154066	0.0133754	0.01759458	297.6378	20.47322	340.6753	0.1415388	0.02306039	-0.008262477	0.001035461	-0.006116316	0.009801714
-0.2153717	0.01343393	0.01761866	297.6216	20.42637	340.7292	0.09965697	0.01915229	0.004648934	0.00128637	-0.003398273	0.007534542
-0.215441	0.01344621	0.01762152	297.6185	20.42707	340.7268	0.07087534	0.01130767	0.01109658	0.00099326	-0.001899612	0.005915801
-0.2153918	0.01336217	0.01771188	297.6042	20.43676	340.7259	0.04151071	0.01062967	0.00800361	0.001885933	-0.001279364	0.005454157
-0.2153747	0.0133791	0.01774716	297.581	20.41988	340.7391	0.01960948	0.007511036	0.009757851	0.001912427	-0.000162279	0.005068218
-0.2152579	0.01334047	0.01772225	297.5657	20.47018	340.7044	0.004252607	0.01075504	0.01582522	0.002609605	0.000135483	0.004312506
-0.215255	0.01327419	0.01790857	297.572	20.41926	340.7689	0.005276855	0.009209611	0.01865305	0.00203407	6.18E-05	0.005571133
-0.2152677	0.01329863	0.01794076	297.5508	20.3982	340.7946	-0.004372231	0.009145096	0.01968889	0.001487679	0.00115775	0.005270501
-0.2154668	0.01336789	0.01800036	297.5387	20.40293	340.8001	-0.007392521	0.009615215	0.02223364	8.22E-05	0.002481439	0.005383083
-0.2154428	0.01328242	0.01784706	297.5189	20.40929	340.8004	-0.0102291	0.00843915	0.01335203	0.0004903	0.00225369	0.003389017
-0.2155335	0.0131886	0.01776159	297.4977	20.39511	340.806	-0.01539579	0.003813472	0.009875264	-0.000267052	0.001786732	0.002304095
-0.2157555	0.01329243	0.01777518	297.4683	20.44097	340.7489	-0.02719801	-0.001793078	0.005819116	-0.001835912	0.003707608	0.001940005
-0.2157671	0.01336014	0.01751518	297.4251	20.4391	340.7483	-0.03491039	-0.003108484	0.006285925	-0.001642352	0.004870251	-0.000472134
-0.2158091	0.01349044	0.0174545	297.3794	20.44015	340.7308	-0.04627547	-0.007748502	0.007459376	-0.002030581	0.007098294	-0.001594538
-0.2156516	0.01362705	0.01732743	297.3179	20.58328	340.5839	-0.0689541	-0.005114728	0.000132818	8.73E-05	0.01007347	-0.002999017
-0.2156324	0.01385736	0.01696575	297.2063	20.74486	340.4241	-0.1076237	0.00290021	-0.01773443	0.000301703	0.01607939	-0.008124207
-0.2156073	0.01433313	0.01680183	297.0546	20.94871	340.2067	-0.1559638	0.009447923	-0.03172641	0.000568965	0.02333383	-0.01021219
-0.2155307	0.01547515	0.01616049	297.0211	21.72174	339.4141	-0.1863561	0.03121637	-0.1481034	0.00227419	0.04657846	-0.0222358
-0.2154073	0.0176599	0.01493549	296.5195	23.08728	338.0083	-0.4410977	0.06796791	-0.2859506	0.004782256	0.08934981	-0.04657024
-0.21545	0.02147031	0.0127219	295.0302	25.6203	335.3458	-1.120114	0.1087959	-0.4040898	0.003329387	0.163827	-0.08945698
-0.2151767	0.02682042	0.01006317	292.6649	31.09978	329.7423	-2.203914	0.2246686	-0.6603039	0.01231311	0.2550019	-0.1318765
-0.2153456	0.03174472	0.008335352	290.5525	35.3593	325.047	-2.823757	0.1160994	-0.6289977	0.003663846	0.3154673	-0.1418448
-0.2172933	0.04000771	0.005550385	288.3611	36.0867	323.7207	-2.921818	-0.1384181	-0.07654939	-0.04523063	0.4361047	-0.1691338
-0.2177535	0.04620349	0.00214231	285.5094	35.14286	324.9425	-3.040323	-0.066767	0.7381012	-0.04502168	0.4686613	-0.2044859
-0.2179979	0.05136168	-0.000302553	283.2522	43.02694	317.1345	-3.440279	0.09048726	0.5521586	-0.03639568	0.4772688	-0.2177279
-0.2181902	0.05620384	-0.002966881	282.9594	48.97017	310.7697	-3.070484	-0.003427497	0.1056149	-0.03220614	0.4660709	-0.2233687
-0.2183676	0.0599798	-0.00548315	281.808	52.1214	307.726	-2.776124	0.06647908	0.2592129	-0.03003316	0.4324557	-0.2237755
-0.2185898	0.06350255	-0.00758636	280.8093	55.99042	304.1111	-2.491545	0.1737168	0.3445826	-0.02645552	0.3935789	-0.2120117
-0.2184973	0.06680703	-0.009185433	280.2008	59.62128	300.5666	-2.200114	0.1910607	0.3376033	-0.02118391	0.3616641	-0.1979115
-0.2188372	0.0690583	-0.0104214	280.2179	61.71776	298.5899	-1.741639	0.2076575	0.166934	-0.02049979	0.3190399	-0.1758168
-0.2193465	0.07313144	-0.0130707	279.6866	66.73146	293.5722	-1.655368	0.1820948	0.1482609	-0.0258854	0.3108834	-0.1781599
-0.2196203	0.07575572	-0.0143435	279.2932	71.08991	289.213	-1.549728	0.1523035	0.1589802	-0.02893883	0.2847556	-0.1642074
-0.2202468	0.07700014	-0.01540232	278.8913	72.65189	287.6132	-1.290754	0.1108094	0.2385316	-0.03442392	0.2362498	-0.1448226
-0.2206142	0.07980084	-0.01742637	279.0013	73.88325	286.3545	-0.9769032	0.07051973	0.09439668	-0.03227171	0.2179852	-0.1356983
-0.2208348	0.08193028	-0.01855016	278.9713	76.88195	283.2208	-0.9130006	0.01189365	0.03534516	-0.03066639	0.2079083	-0.128235
-0.2215218	0.08336842	-0.01933753	278.5364	81.71887	278.3646	-0.9899328	0.0292753	0.1325516	-0.03378499	0.1851049	-0.1139441
-0.2216253	0.08489347	-0.02076864	278.5524	82.74954	277.3737	-0.7809498	0.03582703	0.07149677	-0.02636369	0.1630104	-0.1049415
-0.2216785	0.08615923	-0.02160299	278.7031	84.52801	275.5211	-0.6836643	0.007658952	-0.01344149	-0.02107638	0.1482724	-0.09784363
-0.2216529	0.08711147	-0.02221429	278.3869	88.01693	272.1031	-0.7102333	0.0557583	0.09692099	-0.01335585	0.1295125	-0.0866966
-0.2213101	0.08795559	-0.02318943	278.504	89.07225	271.0998	-0.5740952	0.06566725	0.01233968	-0.000130153	0.1093624	-0.07788868
-0.2211203	0.08831441	-0.02381504	278.5837	90.57599	269.6218	-0.50852	0.06798553	-0.0274989	0.006679977	0.0907717	-0.06898977
-0.2207125	0.08790755	-0.02343976	278.5175	91.52594	268.7939	-0.4155323	0.101811	-0.0137584	0.01864747	0.05678418	-0.04332374
-0.2199604	0.08627713	-0.02286899	278.6089	89.20446	271.1976	-0.1507595	0.09765658	-0.04581901	0.03188739	0.00518225	-0.0106472
-0.2193473	0.08457911	-0.02185559	278.5861	86.76967	273.7108	0.04461342	0.09289633	-0.0189001	0.0385994	-0.03628599	0.01747559
-0.2186535	0.08160329	-0.01944911	278.6499	82.05929	278.5657	0.3343062	0.1044221	-0.02712008	0.04727254	-0.0984052	0.06921721
-0.2177804	0.07663035	-0.01663697	278.6264	74.58326	286.142	0.7072506	0.08365858	0.08764277	0.05515799	-0.1858894	0.1265839
-0.2171301	0.06905639	-0.01220322	278.6472	62.46269	298.3997	1.237312	0.06323729	0.335287	0.05720215	-0.3187067	0.2036529
-0.2164191	0.05988193	-0.006441832	279.2882	46.63964	314.6532	1.926199	0.1552389	0.6281788	0.06056822	-0.4581701	0.2902689
-0.2149356	0.0526886	-0.002216697	281.262	39.11026	322.7717	2.462467	0.2838936	0.3643308	0.0808401	-0.5063431	0.3312542
-0.2128843	0.05025935	0.000138283	286.1951	44.53852	316.8847	2.889092	-0.00569731	-1.521766	0.1106203	-0.4163168	0.2895522
